symbol,unicode_name
A,ARABIC LETTER ALEF
a',ARABIC LETTER ALEF WITH HAMZA ABOVE
b,ARABIC LETTER BEH
t,ARABIC LETTER TEH
_t,ARABIC LETTER THEH
j / ^g,ARABIC LETTER JEEM
.h,ARABIC LETTER HAH
x / _h,ARABIC LETTER KHAH
d,ARABIC LETTER DAL
_d,ARABIC LETTER THAL
r,ARABIC LETTER REH
z,ARABIC LETTER ZAIN
s,ARABIC LETTER SEEN
^s,ARABIC LETTER SHEEN
.s,ARABIC LETTER SAD
.d,ARABIC LETTER DAD
.t,ARABIC LETTER TAH
.z,ARABIC LETTER ZAH
`,ARABIC LETTER AIN
.g,ARABIC LETTER GHAIN
f,ARABIC LETTER FEH
q,ARABIC LETTER QAF
k,ARABIC LETTER KAF
l,ARABIC LETTER LAM
m,ARABIC LETTER MEEM
n,ARABIC LETTER NOON
w / U,ARABIC LETTER WAW
h,ARABIC LETTER HEH
y / I,ARABIC LETTER YEH
a,ARABIC FATHA
u / o,ARABIC DAMMA
i / e,ARABIC KASRA
p,ARABIC LETTER PEH
^c,ARABIC LETTER TCHEH
^z,ARABIC LETTER JEH
g,ARABIC LETTER GAF
.k,ARABIC LETTER KEHEH
y / I*,ARABIC LETTER FARSI YEH
H-i,ARABIC LETTER HEH WITH YEH
'A,ARABIC LETTER ALEF WITH MADDA ABOVE
T,ARABIC LETTER TEH MARBUTA
',ARABIC LETTER HAMZA ABOVE
'y,ARABIC LETTER YEH WITH HAMZA ABOVE
u',ARABIC LETTER WAW WITH HAMZA ABOVE
aN,ARABIC FATHATAN
xx,ARABIC SHADDA
,ARABIC COMMA
;,ARABIC SEMICOLON
?,ARABIC QUESTION MARK
%,ARABIC PERCENT SIGN
,SPACE
.,FULL STOP
-,ZERO WIDTH JOINER
\hspace{0ex},ZERO WIDTH NON-JOINER
